Data do comentário,Nome do hóspede,Número da reserva,Título do comentário,Comentário positivo,Comentário negativo,Pontuação de comentários,Funcionários,Limpeza,Localização,Comodidades,Conforto,Relação preço-qualidade,Resposta do alojamento
24-05-2024,aebac53c46bbeff10fdd26ca0e2196a9bfc1d19bf88eb1efd65a36151c581051,980ab760ea26d408123de36a562de775f45a74bdbb4e7cfd52909c44ce7abfe7,"Top level staff, food, and accomodations!","Loved the staff, especially Claudia. So warm, friendly, and attentive. The included breakfast was amazing!",,10,10.0,10.0,10.0,10.0,10.0,10.0,
24-05-2024,6d37994127792b40d0e5f2cc50d925426c5b7939d1aeafde0edde9f210bdf2a0,07f3c6aa53454316396b4b61caea2c8edc30ce1223378b345dd7c0a83d01a085,Super experience in a great location,"This hotel was beautiful and well kept, rooms were lovely and spacious and walking distance from all the main attractions. The staff were so so helpful and really took care of us when we got food poisoning. Would recommend this property as a great stay !",Our hotel room did not have a functioning television - would have been nice!,9,10.0,10.0,10.0,7.5,10.0,10.0,
25-05-2024,e53657178cb6855ac4b2029197a64b0ce6af712b69433254ae18be74d224f991,248c4cba1576f83ddecb06d32b8c8982d561475ae0dbc2e512da97ebce8f7b24,Gerne wieder!!! ,"So freundliches Personal , alles topp sauber.  
Tolles FrÃ¼hstÃ¼ck. ",,10,10.0,10.0,10.0,10.0,10.0,10.0,
27-05-2024,0f94d8b0fab39a65ad261a8fcc7997a5fea89cf3e931962a121c3cde2363200c,80ac0b3bb2aca718391f4c294e80fa2d989c693bdc8529e554574cffad0f1e7b,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
27-05-2024,0af3ee1bbb4564a23ee6dfb25d657a900f064e84373f0697e0af6a6fb0f5ebf7,c55333e3e598e494ff1659eda5a82edb4054ac0afd8e660aa2dbeee2812303f4,,"Emplacement idéal, personnel adorable et petit déjeuner de très bonne qualité",,9,10.0,10.0,10.0,10.0,10.0,7.5,
27-05-2024,4f0c3cdf1652d0ef79e65fc58e8c184e87bd289e1a6c1520dcd952fc0dd9fe9f,3617917c7beb3bfa3a7192e3fc202adcaa016dfbea6ca90997065995c01591b3,"Great food, great room, great staff - this is where to stay!","Staff was SO kind and welcomed us in a grand way.  The room was so interesting and more than enough room!  The breakfast was delicious, the best we had on our 10 day trip.",Nothing to not like.  It was amazing.,10,10.0,10.0,10.0,10.0,10.0,10.0,
28-05-2024,61c8e16ad90d4e6da317180fa445e262e9313bbf21fd4d30b3b9b4425886b2f5,759c23167fbddf1ee411bf62306a9c866a46db8b84916bcdec76b8203cdc4609,Sehr schönes Hotel.,Sehr schönes Hotel und guter Lage. Freundliches Personal.,Nichts.,10,10.0,10.0,10.0,7.5,10.0,7.5,
29-05-2024,4c1efeaf1cbd6801460a044372f6bff0feaafdeae107bf0c3eb9a71ecd43820f,59fc1c588b3f4817e54adce44b568bbf5e181d287dda815f6aea999e9de05f53,Beautiful Building lots and lots of history about it and the owners were delighted to tell us about it. We will definite,"The initial welcome from Claudia and the other staff was excellent. The cleanliness, beautiful big bedroom and everything we needed. We were leaving early and they left a tray with some breakfast snacks for us much appreciated.",,10,10.0,10.0,10.0,10.0,10.0,10.0,
29-05-2024,2012c6a5524183cad80dc88a0290f0b6d858284bce954f4434902d0d1d3b3bc8,1fb8c830cb3487e9ea80c013921b67d14360f9f8432bf5cb99a7208afcca11c2,,,,9,10.0,10.0,10.0,7.5,10.0,10.0,
31-05-2024,e24e2dff592fe9d81f50cefdb80117e4265404cf5c6d2ad302fd36ddb68ec400,728d25d10ded402b90c1fa90571f984adfe3fbfa0707f99ecc44f6378a859555,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
31-05-2024,70a9af25208460dbdfa468be8a7b64db69e6474d8527120ddb04565a1a927a10,2dbb8d6063383e8c408a35b9d1cadc24e1bc29529c7448c58aec5499bea2379d,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
03-06-2024,6627c28b05a36adc25f9fee88a71f51c5568d2452358420d08e57e5aa426818b,029ddb153ecda396a5e01e7c83bc49aa737889b1b4850bf7828b19845dda1592,Surpreendente e maravilhoso.,"Surpreendeu as acomodações. Sensacional. Acolhedor, espaçoso, requintado. Local com traços antigos (paredes grossas) e requinte contemporâneo. Além de ótima localização, atendimento e hospitalidade excelentes. Qdo voltar a Lisboa, não tenho dúvidas: é aqui que eu vou me hospedar.",Tudo ótimo. Só elogios.,10,10.0,10.0,10.0,10.0,10.0,10.0,
03-06-2024,35bfdf65c705f454159c6d84e368245c7e1c0787c9e60d63da36a54b6f99df79,8a2da7ac22b6d81fdb4048a7fc030c6dd32479f50c8f1ebea93fdbd6dec12ede,Parfait ,"L’emplacement au top
Excellent petit déjeuner 
Chambre spacieuse 
Accueil parfait notamment de Claudia ",,9,10.0,10.0,10.0,7.5,10.0,7.5,
03-06-2024,6410ef0d3a6d3324fcba02131e5742215c99301055398a75457a27ac89dffb5f,aaded317e23652286f6ac8545f165ea7c8d05340bf10136482df40d40dc1ec93,,,,8,7.5,7.5,7.5,7.5,7.5,7.5,
03-06-2024,368076717338898a49ff65b99268a199f6e7588a6a7d492991553f197774ac3b,0db29d91f8145f2e233bc994b90899eacb51a955382afdbdedf3717360745d68,,,,9,10.0,10.0,10.0,7.5,7.5,7.5,
04-06-2024,edadc1e65a0def66be3236619588886eaa1c6d2614fc2451a2ff396ef399af61,1bee4df2f9521b7ee5d611474d36d328ad254fa1ccfbcf6494c6dbec2d10f62c,,,,8,10.0,10.0,10.0,10.0,10.0,10.0,
04-06-2024,417ce6388821cb6175d7df6db311b96333b905ac191dfe858bd85d4de20b78ef,72d1ba6495ed6c1634ce6e8fedd504cf206bb9680661dd71b0d00894c13f2764,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
05-06-2024,14464d02465fc87a749c14def64075c0843476f95002b127579348f22b16c034,c8eeb8e9f837b1b7c171ad7d5eebbc79c67a4c4d04c8bc18c57cffb194d401b6,,"All of the staff, without exception, were amazingly friendly and helpful.  This made our stay even better than it already was.  The room and bed were comfortable.",,10,10.0,7.5,7.5,7.5,7.5,7.5,
06-06-2024,7edc8de0baa4d4ac2e162691ead5b25a0ddf45a40198534606bc9c19d9379229,7254c2d6fe1d3becca7bdee6428f4e1c9466dcee3a8f0b3f9fee5c3b82d92fef,Heerlijk verblijf gehad in dit boutique hotel,"De locatie is top, het personeel is super aardig en het ontbijt is fantastisch! Dit boutique hotel ziet er mooi gestyled uit.","Het matras was iets te hard en wij vonden de regendouche niet zo fijn, maar wij houden dan ook niet van een regendouche.",9,10.0,7.5,10.0,10.0,10.0,10.0,
07-06-2024,1d0bf04ccdf9bec1053f3c7e96dc2becba0f18469da63190c6b0035336369f40,763590e2d0502069d91d29111b5f1044a0b7629a053490c684a3c2edb95abdd0,,,,8,10.0,10.0,10.0,7.5,10.0,7.5,
08-06-2024,cc3a94c42919c5867d05ced22c20cab5adf0a6cfa35bd8c071cb39fa0f6121b4,38589b19a313053cadbe8c00df2e59291170babd2bf118e9711c2041a651dbb7,,"Good breakfast , hotel in city centre , everything was great ",,10,10.0,10.0,10.0,10.0,10.0,7.5,
08-06-2024,5f782d7fc70c82b86375c3bffef9f8304722e8a648dd00aa4cce14942e40479f,d05d2ccc9778c2fdb0576b9f2ac41525e0b55a6f52f21f1cfc0a15510b073aab,,,,10,,,,,,,
08-06-2024,d7cda0ca2c8586e512c425368fcb2bba62e81475bfceb4284f4906de8ec242bc,0cd3c526a210fb5ab3a45819d971a2177f6f6ddfcd7a6715c6d618d51fc95f17,"Perfect stay , great place and wonderful staff. ",Very central location ,,10,10.0,10.0,10.0,10.0,10.0,10.0,
09-06-2024,63775bab06865fc889800471ab873e4da04e7e74a9a6df0d0d1f14f862ddba77,a6667d7b3fd91ebca7e3f6fb27f27492a13779c5e71ee97d06ca85a282cb8e27,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
09-06-2024,378a1caeb151137c18d60cb7f3f1e25202cda7408842643f986c38efbaabe13a,db66bd133761847b365d15306a328a06d88dc136de619ad7d2f774658caddfdb,Perfect hotel for exploring the center of Lisbon and Bairro Alto,"Beautyful hotel, big room, lovely big bathroom, delicious breakfast and very kind and helpful staff. Perfect service!",,10,10.0,10.0,10.0,10.0,10.0,10.0,
09-06-2024,dfe6f18a5e004aa9a2c2d3c8807ae459e7cde88992390b45e1902b7a51ecf145,600f9991600abc21a96a15db63b14f9780ae5b171035a1146603e3751a03d754,"Echte aanrader perfect hotel
","Het ontbijt was echt perfect, zeer vriendelijk personeel heel behulpzaam ",Niets eigenlijk ,9,10.0,10.0,7.5,10.0,10.0,7.5,
09-06-2024,86c337f6a005a35e0880984d6383afe3a26c3db0f429440b3ccb670c4a2d56d7,af1c8b31c38d8efe138d0c7708b1f50aa68d81442685d023c2c8996b246d257a,Parfait séjour dans un hôtel rempli de charme,"Petit déjeuner fait maison. C’était parfait . Juste orange pressé, fruits frais épluchés..",,9,10.0,10.0,10.0,10.0,10.0,10.0,
10-06-2024,b808b3be2949a354337eed5302ef81dad57948f1ed7478d92b8bbd1b20ccb9cc,6de6c4e3620c79143dbc4399f7a0cb40c2a503a464f548ce72c5d3867b0d5868,"Tolle Lage für Stadttour, zum Schlafen zu laut",Die Lage und Ausstattung sind top! Personal sehr freundlich und reichhaltiges Frühstück.,Unser Zimmer lag zur Straßenseite und es ist unmöglich bei geöffnetem Fenster zu schlafen. Party draußen geht bis morgens 5 Uhr🤷🏼‍♀️,9,10.0,10.0,7.5,10.0,10.0,7.5,
10-06-2024,bb8528ccc99563aff33aebd5ea56885a170dd7dfc57e49acac685f06deddc796,b2da6851afd7028922941729a31f51a7842a7d09e045a601a8c9286f6d5cbd47,,Localização ,"Colchão muito duro. 
Box de chuveiro minúsculo, mal dava para tomar banho.",8,7.5,10.0,10.0,7.5,7.5,5.0,
11-06-2024,d25949ef9e762fe7cfb9cc5d125e8a7bbca56662abc51b9d0dc0d2265aa28dce,8700ad3e3b91562afa2471bcca6469a0afe2b5112bbe9cd726edc0b917582fc2,"Lovely hotel, would definitely use again. ","Excellent location. Rooms large, uniquely decorated. ",Can be a bit noisy  if room has a street view. ,9,10.0,10.0,10.0,10.0,10.0,10.0,
11-06-2024,e2aae930fa0a8851c8a7b5b4eada368dc1c21ec10195133ce4cdcf950928d697,f95237c4bd959d08cec6fe96ff22255e475b3a1a0116d0c34714560f1b2c2f15,,"The place was beautiful. Claudia and Miguel were super professional, friendly, and helpful. They made our stay amazing.  I HIGHLY RECOMMEND!!!!! ",,10,10.0,10.0,10.0,10.0,10.0,10.0,
12-06-2024,e183d1152bab0346c1fb9c6dce505a0a7109e8a35a1d2fdefb76e8227666209a,9a284f251f17fa14ff4d36a0f56d3968bd9b9f3858b50fdbda315781a895ac7b,Bestes Hotel für Sightseeing-Trip,Perfektes kleines Boutiquehotel mit persönlichenm Service.,,10,10.0,10.0,10.0,10.0,10.0,10.0,
13-06-2024,e6518c8bc013251718b2b74dae09cd25813ad6851071353548f87663e5b43f89,fabcc542245efeaf04aae621dd7f394f1ea0007f99b346c1ee8e036ffa6443dc,Centralized Location for Exploring Lisbon,"Location is very centralized, most of the Lisbon attractions are walking distance. Staff was very friendly and helpful. Breakfast served every morning on the bottom floor of the hotel.","Our ""Deluxe Suite"" wasn't as deluxe as expected. Our bed was 2 twin beds put together to make it look like it was a King which was uncomfortable and felt ready hard. The carpet under the bed was really dirty as well as the curtains in the room.",7,10.0,7.5,7.5,7.5,5.0,5.0,
14-06-2024,4f23798d92708359b734a18172c9c864f1d48044a754115a0d4b843bca3a5332,8acc548516dc0da5ff2cd75c2db81a0de0529f5f746a450c4c7d79abf8dd0a6a,"Highly recommend, the staff were incredibly helpful. We had a wonderful stay!",Fantastic location and the rooms were spacious and well equipped. ,No complaints ,10,10.0,10.0,10.0,10.0,10.0,10.0,
15-06-2024,90b8de4051f02b7a29484341f3a903e1b2c6a233f5465e19c634535c7b315e6f,0f6314b1835cc59b6127f164cf805b1d24e2da2cf6414950b960735213d2e650,Great stay in great hotel with very helpful staff.,"Great location, generous sized room, comfortable bed, good shower, great breakfast.",Bit noisy at night from people outside. Bit on the expensive side.,9,10.0,10.0,10.0,10.0,10.0,7.5,
16-06-2024,a6b54c20a7b96eeac1a911e6da3124a560fe6dc042ebf270e3676e7095b95652,e8d23d61226e7d7e12aaf8effe601f88edcf52ef029222bfaf6b24a5938e0c4d,,,,9,10.0,7.5,7.5,7.5,7.5,7.5,
16-06-2024,818b5cc5f21d3e6e4e6071c06294528d44595022218446d8b79304d2b766327a,45e1162320a06eb8e6b7eab87605991ec4c9e83e86e03915efe1b7fdb2d2fb90,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
16-06-2024,66d1478e548a2c3dbf7fe6baba7c8386d0cb2201330fb87f0e6e8ac0808351a5,198bab2f975653607d79d55f7f13a130c39fd2102c8aee4ce5e068d54f2c17f4,"Wonderful, great location and good value for money!",Amazing location and staff were superb ,,9,10.0,7.5,10.0,7.5,10.0,10.0,
17-06-2024,36bfc9afeb8e6f8b298dd1e65bac3244802e4ba1a6e658eec7217a02ef696483,fe35b165fa02d0f256a04dbee7dba8dbb616e563b2d5a4796b95f508e1d0a259,,"Gorgeous boutique hotel. It was close to everything we wanted to do, especially the time out markets, the train station and Praça do Comércio. Staff were very friendly and helpful. Room was clean and the bed was so comfy. Breakfast was delicious and the ladies made some delicious scrambled eggs!!",,10,10.0,10.0,10.0,10.0,10.0,10.0,
17-06-2024,440ad1be913a5e5f54c830118f0c44dec4ed62ab174578ed75a495bf8661bca6,60a5974ad4d096502a6319a22c9972ce3ee5c6cef3dbed278823df1b7fe956b2,"Staff were so kind, gave us loads of recommendations and were always up for a chat!",,,9,10.0,10.0,10.0,10.0,10.0,10.0,
17-06-2024,a981406bee0d162772133b68d08bdfd1b8388f143c386111b6b92f0dade893fc,34cbe220f097f231595487033b8471215e5a6aec27c17027b14108eef67582a2,Better than expected!,"Loved the location and cleanliness. The bed was so comfortable and firm. The staff was very friendly and helpful and spoke English.  They had many helpful suggestions for us to find restaurants and things to do in the neighborhood. The suite was spacious and had nice air conditioning and windows with a view. Located in a good area. Felt safe and secure in this property. Breakfast was delivered to our room early since we had an early flight. They arranged a taxi to pick us up and take us to the airport ahead of time, very helpful and reasonable price. Decor was charming.",,9,10.0,10.0,10.0,10.0,10.0,7.5,
18-06-2024,bda0a01c76aae97ef15d6b792f3dc3cbb6609d611e9c563a54a1393fe685e31b,034a43abf12be56768dbeb32519147b37f86f41009679d2b348fc0eb079c7a89,SUPERBE SEJOUR !  ,"Nous sommes rentrés hier de lisbonne, nous avons passés 2 nuits dans cet établissement, Que ce soit l'accueil, le lieu, la localisation  tout est parfait ! 

Mais une note particulière à l'ensemble de l'équipe de réceptionniste, souriant, agréable, nous conseils ...
Ils sont aux petits soins pour nous. Milles merci ",Rien tout était parfait ,10,10.0,10.0,10.0,10.0,10.0,10.0,
19-06-2024,8a8ae63ee3a6ea5a8855f988c3f9e60276001b9f47e004dd63c6dccaba05c9d1,1a5b31ddef041635e07acf6ca5b2386ee4a2af405a3078fc0dfa262ad115d496,,"the staff were very friendly and helpful, the breakfast was delicious, the beds were comfortable and the rooms spacious. great location also. highly recommend. ",,10,10.0,10.0,10.0,10.0,10.0,10.0,
19-06-2024,e56f226483681ff37705847e0a308094d9941a0b5a8c90eb9be8b4da12aab8c3,4a572b46711a2e66bf571e6b5e337e3677e2a51da49331aa656e04afc7c935f6,PESIMO APESTA A OLOR DE HUMEDAD,El desayuno justo,"La habitacion olia a humedad terriblemente y no se podia ventilar ya que daba a la calle directamente y la ventana no abria. Igualmente el olor estaba en las paredes, suelo, cabecero de cama.
El personal dio largas a la solicitud de cambio de habitacion y decia que tenian que hablar con el jefe, al que nunca vimos porque no aparecio y no nos cambiaron de habitacion. 
Nos fuimos una noche antes, de tres noches pagadas usamos dos, solicitamos el reembolso del dinero de la noche no usada si no nos cambiaban de habitacion, no nos dieron ninguna solucion ni nos devolvieron ni un euro por la noche que nos fuimos porque el olor era horrible.
Una pena de vacaciones en un sitio asi!! no lo recomiendo.
La habitacion que nos dieron fue la numero 12, a la calle, el resto no sé como seran, pero desde luego deberian hacerse cargo si te venden una habitacion con esa peste por 190€ la noche. 
Otra cosa son los pequeños mantenimientos, la ducha no se mantenia, el boton de wc se quedaba pillado, se cortaba toda la luz de la habitacion de repente...
Muy mal! No vale lo que piden por la habitación.",1,5.0,5.0,5.0,5.0,2.5,2.5,
20-06-2024,7a49d0e37774f8a5296044c04481158b1264d9f7b9a2029223f5c4b139418860,05111f4f51c4790b771f1692275c3fcf76441858379531926d15257a2f5f13ec,Fantastic location with a great breakfast and helpful friendly staff.,Fantastic location for visiting all areas of Lisbon. The staff were all very helpful and the breakfasts were delicious.,"Only complaint is that the bed was a little hard ( for me) husband said it was fine, so it’s a personal choice I suppose!!",9,10.0,7.5,10.0,10.0,10.0,10.0,
20-06-2024,ea880ac1099950bea7f39136e86065f537b0060f5e816731baf7f4dd83796da1,746bceb6e41de0b8134e55b9d1cc8bd2ab88e264d7993e4654a79cdfea1d747d,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
21-06-2024,efad034bd296883719fab3c55b0bab5a7c8d76a14774781e32a5e1a6335cbfa9,aa59503be6459f39069f6afa278cec3a589ce9fffc237a056786b66e74dc2428,Um hotel Boutique!,"Acolhimento, conforto, cafe da manhã e localização ",Tem escadas para o primeiro andar mas a Claudia colocou as nossas malas imediatamente no quarto!,9,10.0,10.0,10.0,7.5,10.0,5.0,
21-06-2024,3e975bb2a378e614b134660c303b67b1079ce74160cf1bb1a1bdccd16c2b4515,9f453236d5a90f513fb218836ac8e4b3e7cc7ffec0e1bc6130db18d98b481ed7,Perfetta sistemazione,"Abbiamo soggiornato 2 notti e abbiamo trovato la sistemazione molto comoda e centrale per poter visitare la città. A piedi si raggiunge la piazza principale nel quartiere Chiado con tutti i locali e servizi. Lo staff all'hotel è stato davvero molto gentile, professionale e disponibile, non ricordo i nomi ma sia le ragazze che i ragazzi alla reception sono stati TOP. Consigli turistici e pratici per visitare al meglio la città e il Portogallo (visto che per noi Lisbona era la I tappa). La camera da noi scelta andava bene come dimensioni, spazio, pulizia, letto comodissimo, possibilità di farsi un caffè o un tea al rientro, una bottiglia d'acqua sempre a disposizione. Pulizia sia della stanza che degli altri ambienti. Colazione sia dolce che salata, buona qualità e varietà. Alcuni prodotti freschi (tipo frutta/yoghurt) vanno scelti al momento del check-in, ma per noi non è stato un problema. Abbiamo anche richiesto se era possibile anticipare di mezz'ora un giorno la colazione in quanto eravamo diretti a Sintra e tutti molto disponibili e cortesi. All'arrivo e alla partenza consegnano e ritirano loro le valigie in camera. Veramente consigliato. In caso dovessi tornare a Lisbona sceglierò sicuramente questa struttura però forse una camera più grande e non al piano terra.","Unica nota negativa che la camera si trova a piano terra e si sente un po' di odore di umido entrando, ma bastava lasciare un po' aperto la finestra. Inoltre nelle vicinanze si trova un locale e la sera si sente un po' di rumore e schiamazzi (siamo capiti nella sera in cui il giorno dopo era festa in Portogallo)",9,10.0,7.5,10.0,10.0,7.5,7.5,
22-06-2024,56537a214f7b703c4466ccc80d697dd2132fa60b7a17ba28bb40354658202540,a9d2da5d8d2eee8cb53f8fdf48fce3176e0cca20a53a0caf89c44ff9ceb83b11,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
22-06-2024,d3554b172002f304ed6fb19de73d9dce2130d0a4cb5c933b9ea52e58124a14e1,5338228e1536421a59f1982fe760b1d4bf4dfd81043dcf4fbd5a1fe56acc3dc9,"Lovely, charming and fabulous!",Great location in the Chiado area coupled with a beautifully decorated hotel.  Our room was spacious and very comfortable.  Breakfast was very good.  The charm of the converted 17th Century palace showed through.  Magic.,Nothing to note. ,10,10.0,10.0,10.0,10.0,10.0,10.0,
23-06-2024,1f2ec92673d5245f3f165cc77bad95be336422e50fcd08d44b1ea291b8c797ef,812131459aac8aae65d1ba64415a1ca300dbc5cd8dfdab82ad014febcc478b27,,,,9,10.0,10.0,10.0,7.5,10.0,10.0,
23-06-2024,2238dd61a1bf83816b40ad894518814b8edf7221d84d897ffd2c0466ace07c41,069b2c9b133da80cc1fe26289b847a9faf571391c9ac7cf21dc6071310074047,Breakfast was to die for and the location was out the best. Bed was very comfortable as well.,Location and it’s history ,,10,10.0,10.0,10.0,10.0,10.0,10.0,
23-06-2024,d25949ef9e762fe7cfb9cc5d125e8a7bbca56662abc51b9d0dc0d2265aa28dce,7769d812fb9aaf5eda422ce0ac58870058b02420e3e59c4655474cf341bdd5bc,A unique property definitely worth a stay. ,"Excellent location, 10 min walk to town. Lovely gardens. Rooms nicely decorated. Older part of house has lots of character. Nice pool areas (2). ",WiFi signal weak in rooms always dropping. Coffee machines at breakfast cause queues and restrict access to buffet. The balcony for our room was very small just enough room for table and chairs also always in shade and beside an air conditioning unit. Only used once. ,8,10.0,10.0,10.0,7.5,10.0,7.5,
25-06-2024,d9f01fa66c1a963f358a0454d553f7b6bf491acf85cd169c8ed9ee383c54d5d6,87e7996ad1d681f660637c73bf46b4fb70166c7bd446f9228bbb15f41e2a1b94,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
25-06-2024,934399d3b330e4af39dfbbc3c8f08ccf5c99af9de8bb61f7ec179ebfd6fc78e3,1d573b4ed25ace42eee4f97fd37699b3e781acdf73ec0d30ff60282d8ed938d2,Great boutique hotel in Chiado,"Great location in Chiado neighborhood with easy walk to nearby restaurants and bars.  Room was very large and comfortable with lots of storage. Bathroom was large and well appointed. Breakfast room downstairs was lovely with several hot and cold choices and was plenty to start our day. Staff was friendly and helpful, would highly recommend. ",Nothing,10,10.0,10.0,10.0,10.0,10.0,10.0,
26-06-2024,3ac54fad1a767ed3df7bf745bf07793fcc1b656e46336c05412c9c1e4b32891a,3de2938ad9afb140efd1627986b608d4f3cb30c5c8997d15872554f150684677,Wunderbarer Aufenthalt,"Das kleine Boutiquehotel ist zentral und gleichzeitig in der Nähe des Wassers gelegen - ein perfekter Startpunkt für die Erkundung von Lissabon. Die Ausstattung des schönen Zimmers mit modernem Bad hat uns gut gefallen, die Fenster haben keinen Lärm von draußen hereingelassen. Das Frühstück war außergewöhnlich lecker und vielseitig, das Personal absolut freundlich und hilfsbereit. Jederzeit wieder!",Alles war bestens!,10,10.0,10.0,10.0,10.0,10.0,10.0,
26-06-2024,5c607f66c4a21215bdddbedde8eb8e3f939f9dcfc6e210c6dda2514d52d36103,9d59661b975d3b91958ed69265d6f436afeb9d70e8f78d232cd9168411bf2497,,Lovely boutique in great location ,,9,7.5,7.5,7.5,7.5,7.5,7.5,
27-06-2024,ba9b353684f9ae6badc6e11a2f534d3a0a6cd4d625174b2e6b216ba32498c524,e72e7877755aa888e901ea747cb78c9c34cf3bb71e3631f6bced2e28574e9dd3,Amazing location and staff,"The location is perfect 
Lovely staff! Vitor, Claudia and Goncalo are very nice and very helpful. 
Claudia is amazing she had us checked out late.
Everything was really good, I recommend Alecrim ao Chiado.",,10,10.0,10.0,10.0,10.0,10.0,10.0,
27-06-2024,67d5e0ed1603e50e9bc7f5ba6d847c87d1871d3b0d10423dad372edf74c15c16,22297d0eeea0865404005dc8cedae77919cff4fc0145551fffc2303c92065290,Tolles Hotel für einen Städtetrip. ,Das Hotel hat eine super Lage. Rundherum sind viele tolle Restaurants und Bars und Geschäfte. Das Frühstück war hervorragend und der Frühstücksraum sehr liebevoll und gemütlich eingerichtet. Das Personal ist sehr freundlich. ,,8,10.0,7.5,10.0,7.5,10.0,10.0,
27-06-2024,5dfcf9ef1fb1ecbce32fefe37ae99aff68832a7e2ac74f52daa5a1bcd8038118,189245fce30334c45404e29202ef25a5c58a19f3acb691afbb9c954dcde7b149,,Sehr schöne Unterkunft im Herzen Lissabons. Die Angestellten im Hotel waren ausnahmslos außerordentlich freundlich und hilfsbereit. Das Frühstück war sehr lecker und einiges wurde nach Wunsch zubereitet.,,10,10.0,10.0,10.0,10.0,10.0,10.0,
28-06-2024,67e0082893e848c8706431c32dea6c3ca86c488ae24ee6b0661489cb8b3bb78a,63bb9226bc79ddbf2a5e5d85416a49137eedff180ded50039137a0bebc7eacd5,,,,9,10.0,10.0,10.0,10.0,10.0,7.5,
28-06-2024,89a53a643afa6f7e960eec151465c5c042660f2178cfeb0d92481a0bf47bafe3,9f3126ab48380174271149358bad9e932e388141dd7361963bfdb7f3d450a7e0,,The staff were great! We also enjoyed the location. Would definitely recommend and come back if ever visiting Lisbon again. ,"The beds were a bit uncomfortable, pretty stiff. But no other complaints. ",9,10.0,7.5,10.0,10.0,10.0,7.5,
29-06-2024,d920fb2712dc29b32b5091c28cbb82e2406c61b4eed64b9762fd79bb4a0473ef,a776a0231c8fd37ba7b54873b1e856700c2dff062940c30223bd97c8de7abad8,,,,10,10.0,10.0,10.0,10.0,10.0,7.5,
29-06-2024,f20a8b77a86c2798165331c3f0696a092e3ec707acbc88b56a59c5e955a69243,10b27f6144728d73a6f7fd260d5fae07bd3805c7910d4747f3c6cdcf20bedc47,"Excellent hotel, fantastic location! ","The location was perfect for a city break, close to local bars and restaurants, plus a short walk to the famous tram 28 stops! ",The toilet although quirky in the room we stayed in wasn’t ideal as it was up a few steep steps so people with mobility issues may find it difficult. We stayed in room number 4. ,8,10.0,7.5,10.0,10.0,10.0,10.0,
29-06-2024,48735c4fae42d1501164976afec76730b9e5fe467f680bdd8daff4bb77674045,f547fcdbb033d309e4035d990e8656b8cf2769df9f36b6b4eea362c7c5c7a4da,Friendly stay at a great location,"The location was 5 minutes walk to restaurants that were on our list, great cocktails and sights inc tile shops. The staff were so friendly and helpful, especially Claudia! I felt truly happy and welcome. The room was big and comfortable.","The room was a bit damp (there were damp traps under the bed), which I think was responsible for a slightly wierd smell whenever initially entering the room which seemed to disappear. I did wonder if it affected my throat. It was on a down level but also street level.

The wardrobe was a bit wierd and if you hung two tops they would overlap and could hang dresses; but there was also another bar in the room things could kind of be hung on. Would be good to have somewhere to put long floaty summer dresses!

Light wasn't great in the room (or air) as you were on a back street level opposite a wine bar so don't want to invite or let others see in.",9,10.0,10.0,10.0,7.5,10.0,10.0,
01-07-2024,084ab5163478ce87b45ebf7932881db28d5f2ccddc4e2dfd4fa1995a804521d7,a275a4876cb8126eb2caef506e89027dcf0ae21dd6c967548d0be539836bd69f,,,,9,10.0,7.5,10.0,7.5,10.0,10.0,
02-07-2024,674c1f08fac053e604366eb24f2123568e367479301d4dd14e6109ca85abda1b,d3f29059d98e7cf38b136596c694f43b5adc0ffa1e1a4a125c3538cb96053ad4,"Great small comfortable hotel with breakfast, facilities and staff to match ","Good location, comfortable well appointed room, exceptional staff. ",A little noisy late at night but perfectly acceptable due to location. ,9,10.0,10.0,10.0,10.0,10.0,10.0,
02-07-2024,20db27389fe56b55f39b7a0e73bd527022070628f04ccd39e07714d260c192a5,487694f40bfb14f68d82697626e8635c691b256f5ec084276966f079d8b6bbe2,Exceptional Stay- loved it!,"We were blown away at the service, location, cleanliness, and breakfast- all exceptional!! Would highly recommend and would absolutely stay again!",Nothing!,10,10.0,10.0,10.0,10.0,10.0,10.0,
02-07-2024,4715ebb7004d00edad446b0c44332462e8218878f57d9f4e87e1d1111d10c762,b639e74beef88cfb85f4ae44af453effb968f7582e6d040c87f9c765d5f21dec,Great,,Rather noisy as our room onto a busy road,8,10.0,10.0,7.5,7.5,7.5,7.5,
03-07-2024,9b059f912cb56871704877e178f0e926f1ad7d4c27053f11525c2ba8b9a6a5d1,810145beb5c19f0428d496fa56043d2dc1c1fd81461ab8be93b0747f19ebe8e2,"Great location for a short stay, breakfast and service were excellent",Breakfast was excellent.,The room was “tight” and due for a makeover,8,10.0,7.5,10.0,7.5,7.5,10.0,
